publish_date,title,urL,detail
2025-07-07,Abrysvo▼ (Pfizer RSV vaccine) and Arexvy▼ (GSK RSV vaccine): be alert to a small risk of Guillain-Barré syndrome following vaccination in older adults,https://www.gov.uk/drug-safety-update/abrysvov-pfizer-rsv-vaccine-and-arexvyv-gsk-rsv-vaccine-be-alert-to-a-small-risk-of-guillain-barre-syndrome-following-vaccination-in-older-adults, Example content
2025-06-18,IXCHIQ Chikungunya vaccine: temporary suspension in people aged 65 years or older,https://www.gov.uk/drug-safety-update/ixchiq-chikungunya-vaccine-temporary-suspension-in-people-aged-65-years-or-older
2025-06-10,"Valproate (Belvo, Convulex, Depakote, Dyzantil, Epilim, Epilim Chrono or Chronosphere, Episenta, Epival, and Syonell▼): updated safety and educational materials to support patient discussion on reproductive risks",https://www.gov.uk/drug-safety-update/valproate-belvo-convulex-depakote-dyzantil-epilim-epilim-chrono-or-chronosphere-episenta-epival-and-syonellv-updated-safety-and-educational-materials-to-support-patient-discussion-on-reproductive-risks
2025-05-15,Thiopurines and intrahepatic cholestasis of pregnancy,https://www.gov.uk/drug-safety-update/thiopurines-and-intrahepatic-cholestasis-of-pregnancy
2025-05-07,"Kaftrio▼ (Ivacaftor, tezacaftor, elexacaftor): risk of psychological side effects",https://www.gov.uk/drug-safety-update/kaftriov-ivacaftor-tezacaftor-elexacaftor-risk-of-psychological-side-effects
2025-04-24,Short-acting beta 2 agonists (SABA) (salbutamol and terbutaline): reminder of the risks from overuse in asthma and to be aware of changes in the SABA prescribing guidelines,https://www.gov.uk/drug-safety-update/short-acting-beta-2-agonists-saba-salbutamol-and-terbutaline-reminder-of-the-risks-from-overuse-in-asthma-and-to-be-aware-of-changes-in-the-saba-prescribing-guidelines
2025-04-10,Fezolinetant▼(Veoza): risk of liver injury; new recommendations to minimise risk,https://www.gov.uk/drug-safety-update/fezolinetantv-veoza-risk-of-liver-injury-new-recommendations-to-minimise-risk
2025-03-12,Prolonged-release opioids: Removal of indication for relief of post-operative pain,https://www.gov.uk/drug-safety-update/prolonged-release-opioids-removal-of-indication-for-relief-of-post-operative-pain
2025-02-26,Letters and medicine recalls sent to healthcare professionals in January 2025,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-january-2025
2025-02-13,"Valproate (Belvo, Convulex, Depakote, Dyzantil, Epilim, Epilim Chrono or  Chronosphere, Episenta, Epival, and Syonell▼): review by  two specialists is required for initiating valproate but not for  male patients already taking valproate",https://www.gov.uk/drug-safety-update/valproate-belvo-convulex-depakote-dyzantil-epilim-epilim-chrono-or-chronosphere-episenta-epival-and-syonellv-review-by-two-specialists-is-required-for-initiating-valproate-but-not-for-male-patients-already-taking-valproate
2025-01-28,GLP-1 and dual GIP/GLP-1 receptor agonists: potential risk of pulmonary aspiration during general anaesthesia or deep sedation,https://www.gov.uk/drug-safety-update/glp-1-and-dual-gip-slash-glp-1-receptor-agonists-potential-risk-of-pulmonary-aspiration-during-general-anaesthesia-or-deep-sedation
2025-01-28,Letters and medicine recalls sent to healthcare professionals in December 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-december-2024
2024-12-12,Letters and medicine recalls sent to healthcare professionals in November 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-november-2024
2024-11-06,MedSafetyWeek November 2024: your Yellow Card report helps prevent future harm to others and improves patient safety,https://www.gov.uk/drug-safety-update/medsafetyweek-november-2024-your-yellow-card-report-helps-prevent-future-harm-to-others-and-improves-patient-safety
2024-11-06,Letters and medicine recalls sent to healthcare professionals in October 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-october-2024
2024-10-24,GLP-1 receptor agonists: reminder of the potential side effects and to be aware of the potential for misuse,https://www.gov.uk/drug-safety-update/glp-1-receptor-agonists-reminder-of-the-potential-side-effects-and-to-be-aware-of-the-potential-for-misuse
2024-10-24,Insulin pumps and continuous glucose monitoring (CGM) equipment: guidance for users on reporting suspected adverse incidents and safety concerns to the MHRA’s Yellow Card scheme,https://www.gov.uk/drug-safety-update/insulin-pumps-and-continuous-glucose-monitoring-cgm-equipment-guidance-for-users-on-reporting-suspected-adverse-incidents-and-safety-concerns-to-the-mhras-yellow-card-scheme
2024-10-24,Bromocriptine: monitor blood pressure when prescribing bromocriptine for prevention or inhibition of post-partum physiological lactation,https://www.gov.uk/drug-safety-update/bromocriptine-monitor-blood-pressure-when-prescribing-bromocriptine-for-prevention-or-inhibition-of-post-partum-physiological-lactation
2024-10-24,Letters and medicine recalls sent to healthcare professionals in September 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-september-2024
2024-09-26,Letters and medicine recalls sent to healthcare professionals in August 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-august-2024
2024-09-05,"Valproate use in men: as a precaution, men and their partners should use effective contraception",https://www.gov.uk/drug-safety-update/valproate-use-in-men-as-a-precaution-men-and-their-partners-should-use-effective-contraception
2024-08-21,Yellow Card Biobank: call to contribute to study of genetic links to side effects,https://www.gov.uk/drug-safety-update/yellow-card-biobank-call-to-contribute-to-study-of-genetic-links-to-side-effects
2024-08-21,Letters and medicine recalls sent to healthcare professionals in July 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-july-2024
2024-07-23,Epimax Ointment and Epimax Paraffin-Free Ointment: reports of ocular surface toxicity and ocular chemical injury,https://www.gov.uk/drug-safety-update/epimax-ointment-and-epimax-paraffin-free-ointment-reports-of-ocular-surface-toxicity-and-ocular-chemical-injury
2024-07-23,Letters and medicine recalls sent to healthcare professionals in June 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-june-2024
2024-06-20,"Topiramate (Topamax): introduction of new safety measures, including a Pregnancy Prevention Programme",https://www.gov.uk/drug-safety-update/topiramate-topamax-introduction-of-new-safety-measures-including-a-pregnancy-prevention-programme
2024-06-20,Warfarin: be alert to the risk of drug interactions with tramadol,https://www.gov.uk/drug-safety-update/warfarin-be-alert-to-the-risk-of-drug-interactions-with-tramadol
2024-06-20,Letters and medicine recalls sent to healthcare professionals in May 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-may-2024
2024-05-29,"Topical steroids: introduction of new labelling and a reminder of the possibility of severe side effects, including Topical Steroid Withdrawal Reactions",https://www.gov.uk/drug-safety-update/topical-steroids-introduction-of-new-labelling-and-a-reminder-of-the-possibility-of-severe-side-effects-including-topical-steroid-withdrawal-reactions
2024-05-29,Letters and medicine recalls sent to healthcare professionals in April 2024,https://www.gov.uk/drug-safety-update/letters-and-medicine-recalls-sent-to-healthcare-professionals-in-april-2024
2024-04-29,Finasteride: reminder of the risk psychiatric side effects and of sexual side effects (which may persist after discontinuation of treatment),https://www.gov.uk/drug-safety-update/finasteride-reminder-of-the-risk-psychiatric-side-effects-and-of-sexual-side-effects-which-may-persist-after-discontinuation-of-treatment
